ADD, 14, 2, 4
SUB, 13, 5, 7
STORE, 15, 14, 8
LOAD, 16, 13, 3
IF_igual, 18, 13, 15
ENQ, 19, 14, 18
ADD, 5, 1, 4
AND, 25, 6, 5
OR, 26, 3, 1
LOAD, 29, 9, 4
STORE, 30, 10, 5
ENQ, 31, 3, 2
ADD, 28, 6, 3
SUB, 27, 2, 4
LOAD, 26, 8, 7
STORE, 25, 9, 6
ADD, 6, 4, 8
SUB, 9, 7, 2
STORE, 3, 10, 11
LOAD, 4, 5, 8
ENQ, 6, 7, 9
IF_igual, 10, 11, 12
ADD, 13, 14, 15
SUB, 16, 17, 18
STORE, 19, 20, 21
LOAD, 22, 23, 24
AND, 25, 26, 27
OR, 28, 29, 30
ADD, 31, 2, 3
SUB, 4, 5, 6
STORE, 7, 8, 9
LOAD, 10, 11, 12
ENQ, 13, 14, 15
IF_igual, 16, 17, 18
ADD, 19, 20, 21
SUB, 22, 23, 24
STORE, 25, 26, 27
LOAD, 28, 29, 30
ENQ, 31, 2, 3
